subid,frame_num,face_openpose,hand_openpose,nose_conf,wrist_conf
161538-Baby_Scene.json,10230,True,True,0.801802,0.7893955
161538-Baby_Scene.json,10231,True,True,0.824046,0.7770165
161538-Baby_Scene.json,10232,True,True,0.817551,0.791057
161538-Baby_Scene.json,10233,True,True,0.58999,0.37218325
161538-Baby_Scene.json,10234,True,True,0.865201,0.609181
161538-Baby_Scene.json,10235,True,True,0.801436,0.6053445
161538-Baby_Scene.json,10236,True,True,0.090525,0.1820375
161538-Baby_Scene.json,10237,False,True,0.0,0.2145005
161538-Baby_Scene.json,10238,False,False,0.0,0.0
161538-Baby_Scene.json,10239,False,True,0.0,0.299681
161538-Baby_Scene.json,1024,True,True,0.103703,0.1619833333
161538-Baby_Scene.json,10240,False,False,0.0,0.0
161538-Baby_Scene.json,10241,False,False,,
161538-Baby_Scene.json,10242,False,False,,
161538-Baby_Scene.json,10243,False,False,,
161538-Baby_Scene.json,10244,False,False,,
161538-Baby_Scene.json,10245,False,False,,
161538-Baby_Scene.json,10246,False,True,0.0,0.139661
161538-Baby_Scene.json,10247,False,False,,
161538-Baby_Scene.json,10248,False,False,0.0,0.0
161538-Baby_Scene.json,10249,True,True,0.226062,0.1883155
161538-Baby_Scene.json,1025,True,True,0.1450935,0.15678425
161538-Baby_Scene.json,10250,False,True,0.0,0.4343825
161538-Baby_Scene.json,10251,False,True,0.0,0.4599585
161538-Baby_Scene.json,10252,False,False,0.0,0.0
161538-Baby_Scene.json,10253,False,False,,
161538-Baby_Scene.json,10254,False,False,0.0,0.0
161538-Baby_Scene.json,10255,False,False,0.0,0.0
161538-Baby_Scene.json,10256,False,False,,
161538-Baby_Scene.json,10257,False,False,,
161538-Baby_Scene.json,10258,False,False,,
161538-Baby_Scene.json,10259,False,False,,
161538-Baby_Scene.json,1026,False,False,,
161538-Baby_Scene.json,10260,False,False,,
161538-Baby_Scene.json,10261,False,False,,
161538-Baby_Scene.json,10262,False,False,0.0,0.0
161538-Baby_Scene.json,10263,False,False,,
161538-Baby_Scene.json,10264,False,False,,
161538-Baby_Scene.json,10265,False,False,,
161538-Baby_Scene.json,10266,False,False,,
161538-Baby_Scene.json,10267,False,False,,
161538-Baby_Scene.json,10268,False,False,,
161538-Baby_Scene.json,10269,False,False,,
161538-Baby_Scene.json,1027,False,False,,
161538-Baby_Scene.json,10270,False,False,,
161538-Baby_Scene.json,10271,False,False,,
161538-Baby_Scene.json,10272,False,False,,
161538-Baby_Scene.json,10273,False,False,,
